Method	MaxD	QC	Ref	Mat	LEN_Cutoff	N_SNP_Cutoff	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	QCd	GSA	OEE	80000	40	221	138	223	0.498	0.616	0.502	0.384	0.55	0.554	0.38
FullSet	0	Raw	GSA	OEE	80000	45	330	604	385	0.462	0.353	0.538	0.647	0.4	0.404	0.25
FullSet	0	QCd	GSA	OEE	80000	45	192	129	171	0.529	0.598	0.471	0.402	0.561	0.562	0.39
FullSet	0	Raw	GSA	OEE	80000	50	274	542	301	0.477	0.336	0.523	0.664	0.394	0.4	0.245
FullSet	0	QCd	GSA	OEE	80000	50	160	104	127	0.557	0.606	0.443	0.394	0.581	0.581	0.409
FullSet	0	Raw	GSA	OEE	100000	10	735	953	1468	0.334	0.435	0.666	0.565	0.378	0.381	0.233
FullSet	0	QCd	GSA	OEE	100000	10	436	165	704	0.382	0.725	0.618	0.275	0.501	0.527	0.334
FullSet	0	Raw	GSA	OEE	100000	15	707	869	1243	0.363	0.449	0.637	0.551	0.401	0.403	0.251
FullSet	0	QCd	GSA	OEE	100000	15	425	149	579	0.423	0.74	0.577	0.26	0.539	0.56	0.369
FullSet	0	Raw	GSA	OEE	100000	20	628	856	1039	0.377	0.423	0.623	0.577	0.399	0.399	0.249
FullSet	0	QCd	GSA	OEE	100000	20	378	160	480	0.441	0.703	0.559	0.297	0.542	0.556	0.371
FullSet	0	Raw	GSA	OEE	100000	25	534	778	845	0.387	0.407	0.613	0.593	0.397	0.397	0.248
FullSet	0	QCd	GSA	OEE	100000	25	325	138	393	0.453	0.702	0.547	0.298	0.55	0.564	0.38
FullSet	0	Raw	GSA	OEE	100000	30	449	763	694	0.393	0.37	0.607	0.63	0.381	0.381	0.236
FullSet	0	QCd	GSA	OEE	100000	30	275	152	317	0.465	0.644	0.535	0.356	0.54	0.547	0.37
FullSet	0	Raw	GSA	OEE	100000	35	402	673	565	0.416	0.374	0.584	0.626	0.394	0.394	0.245
FullSet	0	QCd	GSA	OEE	100000	35	240	133	259	0.481	0.643	0.519	0.357	0.55	0.556	0.38
FullSet	0	Raw	GSA	OEE	100000	40	359	602	445	0.447	0.374	0.553	0.626	0.407	0.408	0.255
FullSet	0	QCd	GSA	OEE	100000	40	211	118	201	0.512	0.641	0.488	0.359	0.57	0.573	0.398
FullSet	0	Raw	GSA	OEE	100000	45	316	530	337	0.484	0.374	0.516	0.626	0.422	0.425	0.267
FullSet	0	QCd	GSA	OEE	100000	45	185	108	156	0.543	0.631	0.457	0.369	0.584	0.585	0.412
FullSet	0	Raw	GSA	OEE	100000	50	262	489	264	0.498	0.349	0.502	0.651	0.41	0.417	0.258
FullSet	0	QCd	GSA	OEE	100000	50	153	93	115	0.571	0.622	0.429	0.378	0.595	0.596	0.424
FullSet	0	Raw	GSA	OEE	120000	10	590	827	1089	0.351	0.416	0.649	0.584	0.381	0.383	0.235
FullSet	0	QCd	GSA	OEE	120000	10	353	136	511	0.409	0.722	0.591	0.278	0.522	0.543	0.353
FullSet	0	Raw	GSA	OEE	120000	15	570	754	967	0.371	0.431	0.629	0.569	0.398	0.4	0.249
FullSet	0	QCd	GSA	OEE	120000	15	346	124	444	0.438	0.736	0.562	0.264	0.549	0.568	0.379
FullSet	0	Raw	GSA	OEE	120000	20	521	735	836	0.384	0.415	0.616	0.585	0.399	0.399	0.249
FullSet	0	QCd	GSA	OEE	120000	20	315	131	378	0.455	0.706	0.545	0.294	0.553	0.567	0.382
FullSet	0	Raw	GSA	OEE	120000	25	454	685	695	0.395	0.399	0.605	0.601	0.397	0.397	0.248
FullSet	0	QCd	GSA	OEE	120000	25	276	123	316	0.466	0.692	0.534	0.308	0.557	0.568	0.386
FullSet	0	Raw	GSA	OEE	120000	30	396	668	564	0.412	0.372	0.588	0.628	0.391	0.392	0.243
FullSet	0	QCd	GSA	OEE	120000	30	243	131	258	0.485	0.65	0.515	0.35	0.555	0.561	0.384
FullSet	0	Raw	GSA	OEE	120000	35	355	613	492	0.419	0.367	0.581	0.633	0.391	0.392	0.243
FullSet	0	QCd	GSA	OEE	120000	35	212	122	224	0.486	0.635	0.514	0.365	0.551	0.556	0.38
