Method	MaxD	QC	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
BAF	50	Raw	Deletions	Very Large	46	0	1	0.979	1	0.021	0	0.989	0.989	0.979
BAF	50	Raw	Deletions	Ultra Large	9	0	1	0.9	1	0.1	0	0.947	0.949	0.9
BAF	50	Raw	Duplications	All	11113	2036	53480	0.172	0.845	0.828	0.155	0.286	0.381	0.167
BAF	50	Raw	Duplications	Small	7771	1964	50507	0.133	0.798	0.867	0.202	0.229	0.326	0.129
BAF	50	Raw	Duplications	Medium	2991	71	2887	0.509	0.977	0.491	0.023	0.669	0.705	0.503
BAF	50	Raw	Duplications	Large	261	1	62	0.808	0.996	0.192	0.004	0.892	0.897	0.806
BAF	50	Raw	Duplications	Very Large	86	0	23	0.789	1	0.211	0	0.882	0.888	0.789
BAF	50	Raw	Duplications	Ultra Large	4	0	1	0.8	1	0.2	0	0.889	0.894	0.8
BAF	50	QCd	All	All	14316	1298	235313	0.057	0.917	0.943	0.083	0.108	0.229	0.057
BAF	50	QCd	All	Small	9060	1230	229202	0.038	0.88	0.962	0.12	0.073	0.183	0.038
BAF	50	QCd	All	Medium	4862	67	5948	0.45	0.986	0.55	0.014	0.618	0.666	0.447
BAF	50	QCd	All	Large	260	1	125	0.675	0.996	0.325	0.004	0.805	0.82	0.674
BAF	50	QCd	All	Very Large	121	0	36	0.771	1	0.229	0	0.871	0.878	0.771
BAF	50	QCd	All	Ultra Large	13	0	2	0.867	1	0.133	0	0.929	0.931	0.867
BAF	50	QCd	Deletions	All	7317	630	177623	0.04	0.921	0.96	0.079	0.076	0.191	0.039
BAF	50	QCd	Deletions	Small	4957	597	174900	0.028	0.893	0.972	0.107	0.053	0.157	0.027
BAF	50	QCd	Deletions	Medium	2267	33	2683	0.458	0.986	0.542	0.014	0.625	0.672	0.455
BAF	50	QCd	Deletions	Large	40	0	38	0.513	1	0.487	0	0.678	0.716	0.513
BAF	50	QCd	Deletions	Very Large	44	0	1	0.978	1	0.022	0	0.989	0.989	0.978
BAF	50	QCd	Deletions	Ultra Large	9	0	1	0.9	1	0.1	0	0.947	0.949	0.9
BAF	50	QCd	Duplications	All	6999	668	57690	0.108	0.913	0.892	0.087	0.193	0.314	0.107
BAF	50	QCd	Duplications	Small	4103	633	54302	0.07	0.866	0.93	0.134	0.13	0.247	0.069
BAF	50	QCd	Duplications	Medium	2595	34	3265	0.443	0.987	0.557	0.013	0.611	0.661	0.44
BAF	50	QCd	Duplications	Large	220	1	87	0.717	0.995	0.283	0.005	0.833	0.845	0.714
BAF	50	QCd	Duplications	Very Large	77	0	35	0.688	1	0.312	0	0.815	0.829	0.688
BAF	50	QCd	Duplications	Ultra Large	4	0	1	0.8	1	0.2	0	0.889	0.894	0.8
BAF	100	Raw	All	All	28054	3992	214133	0.116	0.875	0.884	0.125	0.205	0.318	0.114
BAF	100	Raw	All	Small	22112	3889	208944	0.096	0.85	0.904	0.15	0.172	0.285	0.094
BAF	100	Raw	All	Medium	5486	100	5069	0.52	0.982	0.48	0.018	0.68	0.714	0.515
BAF	100	Raw	All	Large	308	3	97	0.76	0.99	0.24	0.01	0.86	0.868	0.755
BAF	100	Raw	All	Very Large	129	0	21	0.86	1	0.14	0	0.925	0.927	0.86
BAF	100	Raw	All	Ultra Large	19	0	2	0.905	1	0.095	0	0.95	0.951	0.905
BAF	100	Raw	Deletions	All	16071	1742	162082	0.09	0.902	0.91	0.098	0.164	0.285	0.089
BAF	100	Raw	Deletions	Small	13596	1709	159689	0.078	0.888	0.922	0.112	0.144	0.264	0.078
BAF	100	Raw	Deletions	Medium	2365	33	2354	0.501	0.986	0.499	0.014	0.665	0.703	0.498
BAF	100	Raw	Deletions	Large	49	0	37	0.57	1	0.43	0	0.726	0.755	0.57
BAF	100	Raw	Deletions	Very Large	46	0	1	0.979	1	0.021	0	0.989	0.989	0.979
BAF	100	Raw	Deletions	Ultra Large	15	0	1	0.938	1	0.062	0	0.968	0.968	0.938
BAF	100	Raw	Duplications	All	11983	2250	52051	0.187	0.842	0.813	0.158	0.306	0.397	0.181
BAF	100	Raw	Duplications	Small	8516	2180	49255	0.147	0.796	0.853	0.204	0.249	0.343	0.142
BAF	100	Raw	Duplications	Medium	3121	67	2715	0.535	0.979	0.465	0.021	0.692	0.724	0.529
BAF	100	Raw	Duplications	Large	259	3	60	0.812	0.989	0.188	0.011	0.892	0.896	0.804
BAF	100	Raw	Duplications	Very Large	83	0	20	0.806	1	0.194	0	0.892	0.898	0.806
BAF	100	Raw	Duplications	Ultra Large	4	0	1	0.8	1	0.2	0	0.889	0.894	0.8
BAF	100	QCd	All	All	15472	1391	231764	0.063	0.918	0.937	0.082	0.117	0.24	0.062
BAF	100	QCd	All	Small	10120	1339	226167	0.043	0.883	0.957	0.117	0.082	0.194	0.043
BAF	100	QCd	All	Medium	4947	49	5443	0.476	0.99	0.524	0.01	0.643	0.687	0.474
BAF	100	QCd	All	Large	270	3	119	0.694	0.989	0.306	0.011	0.816	0.829	0.689
BAF	100	QCd	All	Very Large	116	0	34	0.773	1	0.227	0	0.872	0.879	0.773
